,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,hachinohe,40,JP,1591730503,93,40.5,141.5,57.2,5.82
389,xinmin,100,CN,1591730503,93,41.99,122.83,73.0,2.24
390,tucuman,75,AR,1591730503,53,-26.82,-65.22,73.4,4.7
391,taywarah,0,AF,1591730503,40,33.35,64.42,54.99,6.85
392,san ignacio,40,BZ,1591730504,63,17.16,-89.07,95.0,6.93
393,oregon,96,US,1591730308,45,44.0,-120.5,66.0,8.01
394,le vauclin,91,MQ,1591730504,55,14.55,-60.84,91.4,10.29
395,kemijarvi,84,FI,1591730504,62,66.71,27.43,56.32,6.53
396,bedele,100,ET,1591730505,100,8.46,36.35,56.59,3.56
397,koutsouras,0,GR,1591730505,82,35.03,25.95,73.0,4.0
398,kant,0,IN,1591730505,26,27.8,79.8,95.79,5.21
399,forestville,40,US,1591730505,55,38.85,-76.88,90.0,6.93
400,coruripe,0,BR,1591730506,78,-10.13,-36.18,80.1,9.8
401,bara,0,NG,1591730506,52,10.37,10.73,87.71,14.34
402,saint peter,75,BB,1591730326,70,13.25,-59.62,86.0,12.75
403,leczna,90,PL,1591730506,100,51.3,22.88,60.8,6.93
404,hirara,100,JP,1591730506,78,24.8,125.28,81.09,12.68
405,perrelos,90,PH,1591730507,94,10.12,123.67,80.6,6.93
406,sydney,75,AU,1591730352,93,-33.87,151.21,57.2,6.93
407,samarai,100,PG,1591730507,85,-10.62,150.67,79.63,17.74
408,campbell river,90,CA,1591730341,87,50.02,-125.24,53.6,20.8
409,leningradskiy,83,RU,1591730508,56,69.38,178.42,54.19,5.3
410,port hardy,90,CA,1591730508,81,50.7,-127.42,53.6,17.22
411,puerto madryn,81,AR,1591730484,32,-42.77,-65.04,61.48,26.17
412,changying,89,CN,1591730508,84,52.87,123.32,48.09,7.36
413,kwakoa,15,TZ,1591730508,81,-3.77,37.72,66.56,4.05
414,barentu,4,ER,1591730508,32,15.11,37.59,86.22,5.88
415,bogorodskoye,92,RU,1591730509,91,56.55,37.88,65.43,6.44
416,maralal,44,KE,1591730509,89,1.1,36.7,59.58,8.16
417,laguna,1,US,1591730472,20,38.42,-121.42,82.4,5.82
418,dolores,0,AR,1591730509,37,-36.31,-57.68,60.35,8.21
419,te anau,88,NZ,1591730509,78,-45.42,167.72,47.25,6.33
420,igarka,21,RU,1591730509,76,67.47,86.58,43.61,4.61
421,baglan,0,AF,1591730510,30,36.13,68.71,76.96,1.68
422,atasu,26,KZ,1591730510,61,48.68,71.64,62.96,7.25
423,wodonga,40,AU,1591730510,100,-36.12,146.88,39.99,3.36
424,shimoda,100,JP,1591730510,86,34.67,138.95,66.0,5.01
425,bandarbeyla,0,SO,1591730510,66,9.49,50.81,84.2,26.57
426,sampit,100,ID,1591730510,98,-2.53,112.95,74.39,2.53
427,sisimiut,99,GL,1591730511,79,66.94,-53.67,40.3,10.76
428,buraydah,0,SA,1591730511,16,26.33,43.98,93.2,6.93
429,awjilah,23,LY,1591730511,22,29.11,21.29,91.94,14.74
430,tandil,0,AR,1591730435,34,-37.32,-59.13,60.01,3.0
431,lashio,57,MM,1591730511,98,22.93,97.75,68.9,1.48
432,sur,0,OM,1591730511,73,22.57,59.53,85.08,7.58
433,aviles,17,ES,1591730512,67,43.55,-5.92,63.0,3.36
434,xuddur,95,SO,1591730512,71,4.12,43.89,75.2,12.86
435,acapulco,20,MX,1591730512,70,16.86,-99.89,86.0,11.41
436,pecos,1,US,1591730512,4,31.42,-103.49,86.0,11.41
437,mayumba,24,GA,1591730512,88,-3.43,10.66,74.48,5.59
438,davila,75,PH,1591730512,88,18.47,120.58,77.0,4.7
439,ohaeawai,71,NZ,1591730513,97,-35.35,173.88,50.0,1.01
440,linhares,0,BR,1591730513,61,-19.39,-40.07,80.42,6.85
441,mae hong son,98,TH,1591730513,88,19.3,97.97,74.34,0.67
442,kenai,90,US,1591730513,87,60.55,-151.26,50.0,8.05
443,haines junction,0,CA,1591730513,34,60.75,-137.51,58.66,1.48
444,balkanabat,0,TM,1591730514,13,39.51,54.37,86.86,11.14
445,galveston,40,US,1591730307,70,29.37,-94.97,93.99,12.75
446,grand-santi,100,GF,1591730514,73,4.25,-54.38,81.18,2.51
447,chiredzi,0,ZW,1591730514,67,-21.05,31.67,62.08,2.15
448,port lincoln,0,AU,1591730514,59,-34.73,135.87,49.42,4.63
449,wanning,100,CN,1591730514,90,18.8,110.4,81.46,9.31
450,atambua,29,ID,1591730515,89,-9.11,124.89,71.49,6.2
451,beian,20,NO,1591730515,66,63.66,9.57,57.0,6.93
452,ewa beach,75,US,1591730515,65,21.32,-158.01,82.4,6.93
453,nara,100,JP,1591730480,42,34.69,135.8,73.99,3.53
454,kikwit,0,CD,1591730515,63,-5.04,18.82,77.67,1.34
455,mackay,90,AU,1591730516,93,-21.15,149.2,57.99,6.93
456,hienghene,100,NC,1591730516,84,-20.68,164.93,71.1,9.19
457,geraldton,100,AU,1591730516,54,-28.77,114.6,55.4,13.87
458,kismayo,77,SO,1591730516,78,-0.36,42.55,79.21,14.85
459,akonolinga,98,CM,1591730516,96,3.77,12.25,70.16,3.83
460,maragogi,0,BR,1591730461,79,-9.01,-35.22,80.08,7.52
461,vao,88,NC,1591730517,82,-22.67,167.48,71.78,26.17
462,san francisco,1,US,1591730406,46,37.77,-122.42,79.0,4.7
463,salinopolis,80,BR,1591730517,72,-0.61,-47.36,83.84,9.37
464,ucluelet,90,CA,1591730517,100,48.93,-125.55,55.0,12.75
465,batemans bay,100,AU,1591730517,97,-35.72,150.18,50.0,4.34
466,ferme-neuve,51,CA,1591730518,41,46.7,-75.45,72.99,3.62
467,lompoc,1,US,1591730300,21,34.64,-120.46,89.01,6.55
468,sabha,49,LY,1591730518,15,27.04,14.43,95.67,9.95
469,sobolivka,0,UA,1591730518,78,49.34,28.65,67.62,5.84
470,armacao de pera,20,PT,1591730518,68,37.1,-8.36,75.99,8.05
471,saint anthony,1,US,1591730519,48,45.02,-93.22,84.99,9.33
472,changji,100,CN,1591730519,21,44.02,87.32,71.6,6.71
473,ginir,7,ET,1591730519,97,7.13,40.7,58.14,3.22
474,mulchen,75,CL,1591730519,76,-37.72,-72.23,51.8,6.93
475,beipiao,47,CN,1591730520,76,41.79,120.78,64.44,6.93
476,salsomaggiore terme,40,IT,1591730520,100,44.81,9.98,69.8,2.24
477,marzuq,0,YE,1591730520,32,14.4,46.47,86.86,4.09
478,olafsvik,100,IS,1591730520,86,64.89,-23.71,44.1,11.01
479,nanortalik,100,GL,1591730520,64,60.14,-45.24,48.42,19.39
480,bengkulu,1,ID,1591730521,88,-3.8,102.27,76.01,3.91
481,padampur,0,IN,1591730521,20,29.68,73.62,101.28,10.2
482,carutapera,5,BR,1591730521,66,-1.2,-46.02,84.36,7.78
483,yumen,92,CN,1591730521,22,40.28,97.2,65.01,9.75
484,taoudenni,27,ML,1591730521,22,22.68,-3.98,100.99,12.17
485,garmsar,4,IR,1591730522,25,35.22,52.34,83.39,7.96
486,yangambi,92,CD,1591730522,93,0.81,24.43,72.86,1.88
487,svetlaya,100,RU,1591730522,84,46.54,138.33,60.76,5.75
488,rundu,0,NA,1591730522,37,-17.93,19.77,61.32,4.83
489,dunedin,5,NZ,1591730522,55,-45.87,170.5,51.01,7.38
490,sandwick,20,GB,1591730232,71,60.0,-1.25,50.0,10.29
491,pochutla,96,MX,1591730523,61,15.74,-96.47,91.0,11.01
492,merauke,93,ID,1591730523,81,-8.47,140.33,78.22,17.07
493,fairbanks,75,US,1591730523,55,64.84,-147.72,64.0,3.36
494,carauari,62,BR,1591730523,51,-4.88,-66.9,89.87,3.51
495,sainte-suzanne,75,RE,1591730523,73,-20.91,55.61,69.8,14.99
496,koson,0,UZ,1591730524,27,39.04,65.58,75.2,11.41
497,hay river,90,CA,1591730524,100,60.82,-115.8,41.0,5.82
498,harper,66,LR,1591730524,83,4.38,-7.72,79.0,7.36
499,blackwater,96,AU,1591730524,69,-23.58,148.88,55.06,6.11
500,coihaique,75,CL,1591730256,87,-45.58,-72.07,44.6,3.36
501,ust-omchug,100,RU,1591730525,81,61.15,149.63,46.36,4.52
502,vilhena,75,BR,1591730525,52,-12.74,-60.15,87.8,5.82
503,bulgan,4,MN,1591730525,54,48.81,103.53,46.38,3.04
504,alofi,100,NU,1591730525,94,-19.06,-169.92,69.8,1.12
505,pitimbu,40,BR,1591730525,74,-7.47,-34.81,82.4,9.17
506,hobyo,0,SO,1591730525,70,5.35,48.53,81.18,27.47
507,anchorage,90,US,1591730312,87,61.22,-149.9,48.99,6.93
508,sylvan lake,75,CA,1591730526,41,52.32,-114.09,59.0,3.36
509,shakiso,90,ET,1591730526,95,5.75,38.92,57.13,1.63
510,hovd,100,MN,1591730526,52,48.01,91.64,53.38,2.17
511,pangoa,47,PE,1591730526,57,-12.12,-73.0,84.09,4.29
512,henties bay,0,NA,1591730468,90,-22.12,14.28,60.01,0.22
513,vyshneve,77,UA,1591730442,44,50.39,30.37,80.6,6.71
514,marihatag,100,PH,1591730527,85,8.79,126.3,78.42,6.17
515,chake chake,0,TZ,1591730527,81,-5.25,39.77,76.15,9.51
516,guanica,100,PR,1591730527,67,17.97,-66.91,84.0,1.01
517,gibara,40,CU,1591730527,52,21.11,-76.13,91.4,9.17
518,homer,90,US,1591730336,81,59.64,-151.55,51.8,3.36
519,atarra,0,IN,1591730527,31,25.28,80.57,95.32,5.26
520,capreol,75,CA,1591730528,60,46.71,-80.92,75.99,12.75
521,sao gabriel da cachoeira,40,BR,1591730528,66,-0.13,-67.09,87.8,6.93
522,kamenka,22,RU,1591730528,69,51.32,42.77,69.01,4.0
523,matara,100,LK,1591730528,88,5.95,80.54,79.88,10.02
524,port hedland,0,AU,1591730528,72,-20.32,118.57,60.8,4.7
525,usinsk,0,RU,1591730529,47,65.99,57.53,73.49,19.06
526,mareeba,99,AU,1591730529,77,-17.0,145.43,69.8,8.05
527,ayan,100,RU,1591730529,97,56.45,138.17,39.09,12.17
528,spassk,95,RU,1591730529,78,52.75,87.75,46.51,3.24
529,banda,0,IN,1591730529,29,25.48,80.33,95.43,5.12
530,howard springs,48,AU,1591730529,68,-12.5,131.05,71.6,5.82
531,naze,90,JP,1591730530,100,28.37,129.48,75.2,11.41
532,ketchikan,90,US,1591730490,58,55.34,-131.65,57.2,20.8
533,san ramon,1,US,1591730395,18,37.78,-121.98,86.0,3.36
534,viedma,0,AR,1591730287,36,-40.81,-63.0,57.34,25.72
535,soyo,35,AO,1591730530,84,-6.13,12.37,76.21,6.38
536,denpasar,20,ID,1591730490,94,-8.65,115.22,77.0,5.82
537,sturgis,40,US,1591730475,43,41.8,-85.42,91.4,21.92
